street,zip_code,city,state,county,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
132 Court St,7103,Newark,NJ,Essex,40.733152,-74.181828,SingleFamily,2015,73121,1915,1812,2603,NA,NA,12/28/16,285000,275519,neighborhood,Springfield-Belmont
54 Elliott St,7104,Newark,NJ,Essex,40.775203,-74.16213,MultiFamily2To4,2015,155476,1915,4567,2080,NA,6,3/3/17,87000,274692,neighborhood,North Broadway
40 Eastern Pkwy,7106,Newark,NJ,Essex,40.741206,-74.238099,SingleFamily,2015,182856,1927,3920,1478,1,3,11/29/16,143352,12970,city,Newark
175 S 7th St,7103,Newark,NJ,Essex,40.742984,-74.196685,MultiFamily2To4,2015,150043,1891,1712,2244,3,4,8/19/16,95000,273684,neighborhood,Fairmuont
37 Rose Ter,7108,Newark,NJ,Essex,40.726748,-74.20094,Townhouse,2016,158681,1930,3463,2591,2,3,8/9/16,340000,275990,neighborhood,West Side
423 18th Ave,7108,Newark,NJ,Essex,40.731018,-74.20153,MultiFamily2To4,2016,164160,1920,9239,2855,2,5,11/7/16,175000,275990,neighborhood,West Side
72 Schuyler Ave,7112,Newark,NJ,Essex,40.715131,-74.209975,MultiFamily2To4,2015,223924,1927,3484,NA,3,7,3/7/17,105000,275941,neighborhood,Weequahic
9 Varsity Rd,7106,Newark,NJ,Essex,40.739238,-74.235713,MultiFamily2To4,2015,202630,1952,5227,2599,3,7,12/1/00,142000,12970,city,Newark
50 Chestnut St,7110,Nutley,NJ,Essex,40.817264,-74.150479,SingleFamily,2015,320131,1950,5227,NA,2,3,4/6/17,449900,13056,city,Nutley
59 Anderson Pkwy,7009,Cedar Grove,NJ,Essex,40.872533,-74.230004,SingleFamily,2015,398244,NA,NA,NA,3,5,4/6/17,410000,14839,city,Cedar Grove
47 Rhoda Ave,7110,Nutley,NJ,Essex,40.832811,-74.1661,SingleFamily,2015,423895,1939,4791,NA,3,3,4/6/17,429000,13056,city,Nutley
15 Matt Dr,7004,Fairfield,NJ,Essex,40.860256,-74.308964,SingleFamily,2015,377052,1961,18295,1803,2,3,4/6/17,385000,51976,city,Fairfield
99 Summer Ave,7104,Newark,NJ,Essex,40.754096,-74.173137,MultiFamily2To4,2015,129835,1930,2496,2772,NA,NA,4/5/17,170000,275335,neighborhood,Seventh Avenue
920 S Orange Ave,7078,Short Hills,NJ,Essex,40.754029,-74.307622,SingleFamily,2015,463677,1966,10018,1745,3,4,4/5/17,612000,13829,city,Short Hills
15 Oxford Ter,7052,West Orange,NJ,Essex,40.765112,-74.254641,SingleFamily,2016,362939,1925,7405,2440,3,6,4/5/17,520000,16216,city,West Orange
301 Orange St,7103,Newark,NJ,Essex,40.749539,-74.181484,MultiFamily2To4,2015,149717,1915,2613,2800,3,9,4/5/17,170000,276616,neighborhood,University Heights
533 Norwood St,7018,East Orange,NJ,Essex,40.747787,-74.227798,MultiFamily2To4,2015,157620,1930,10890,1835,3,4,4/5/17,165000,51806,city,East Orange
5 Highland Blvd,7052,West Orange,NJ,Essex,40.775322,-74.267863,SingleFamily,2015,320613,2014,11325,3000,3,5,4/4/17,679000,16216,city,West Orange
81 Sand Rd,7004,Fairfield,NJ,Essex,40.887817,-74.287155,SingleFamily,2015,353023,1930,7427,1800,NA,NA,4/4/17,460000,51976,city,Fairfield
348 N Fullerton Ave,7043,Montclair,NJ,Essex,40.831529,-74.204406,SingleFamily,2015,697702,1920,12196,2312,2,6,4/4/17,627000,39839,city,Montclair
56 Irving Ave,7039,Livingston,NJ,Essex,40.789013,-74.317031,SingleFamily,2015,365928,NA,5662,2500,3,4,4/4/17,660000,56428,city,Livingston
