street,zip_code,city,state,county,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
18 Clark St,7016,Cranford,NJ,Union,40.640888,-74.313386,SingleFamily,2015,489352,1995,4791,NA,3,4,4/21/17,616000,31092,city,Cranford
156 Walton Ave,7083,Union,NJ,Union,40.676399,-74.2696,SingleFamily,2015,432019,1985,4791,NA,4,5,4/21/17,449900,20883,city,Union
38 Rutgers Rd,7016,Cranford,NJ,Union,40.66882,-74.325387,SingleFamily,2015,574538,1958,15681,NA,4,5,4/21/17,800000,31092,city,Cranford
513 Rosewood Ter,7036,Linden,NJ,Union,40.636493,-74.280083,MultiFamily2To4,2016,300310,1947,4791,1584,2,4,4/21/17,355000,36718,city,Linden
21 Roosevelt Ave,7023,Fanwood,NJ,Union,40.639621,-74.37591,SingleFamily,2015,285714,1961,4791,NA,1,3,4/21/17,258500,42402,city,Fanwood
310 Drake Ave,7203,Roselle,NJ,Union,40.658895,-74.250735,SingleFamily,2015,157419,1920,2613,1116,1.5,3,4/21/17,152000,13593,city,Roselle
14 Ramsgate Rd,7016,Cranford,NJ,Union,40.659009,-74.317443,SingleFamily,2015,613152,1965,13939,3198,4,4,4/21/17,900000,31092,city,Cranford
617 Raritan Rd,7016,Cranford,NJ,Union,40.640869,-74.286262,SingleFamily,2015,297215,1969,4850,NA,2.5,3,4/20/17,255009,31092,city,Cranford
338 Washington St,7922,Berkeley Heights,NJ,Union,40.686377,-74.438655,SingleFamily,2015,717708,2008,8712,3500,4,4,4/20/17,887000,28407,city,Berkeley Heights
255 Tucker Ave APT 107,7083,Union,NJ,Union,40.672961,-74.269082,Townhouse,2016,72632,1970,871,NA,1,1,4/20/17,116000,20883,city,Union
255 Tucker Ave APT 106,7083,Union,NJ,Union,40.673015,-74.269095,SingleFamily,2015,67687,1971,688,NA,NA,NA,4/20/17,116000,20883,city,Union
715 Dartmoor,7090,Westfield,NJ,Union,40.635107,-74.34566,SingleFamily,2015,920477,2016,14810,3500,7,6,4/19/17,1644000,27896,city,Westfield
533 Monmouth Ave,7036,Linden,NJ,Union,40.637271,-74.252112,SingleFamily,2015,219166,1958,4400,1015,2,2,4/19/17,257000,36718,city,Linden
3 Poplar Ter,7066,Clark,NJ,Union,40.635361,-74.299694,SingleFamily,2015,332361,1947,7000,NA,2,3,4/19/17,300000,10836,city,Clark
324 E 3rd Ave,7203,Roselle,NJ,Union,40.658522,-74.254757,SingleFamily,2015,244913,1915,5227,1680,1,4,4/19/17,117800,13593,city,Roselle
621 Chandler Ave,7203,Roselle,NJ,Union,40.654475,-74.252273,SingleFamily,2015,188381,NA,10018,NA,2,3,4/19/17,115000,13593,city,Roselle
56 Ridgeway Ave,7205,Hillside,NJ,Union,40.69505,-74.218132,SingleFamily,2015,197423,1929,3920,NA,2,3,4/18/17,209999,55745,city,Hillside
405 Denman Rd,7016,Cranford,NJ,Union,40.642179,-74.312014,SingleFamily,2015,421483,1960,6098,NA,3,5,4/18/17,765000,31092,city,Cranford
8 Hillside Ave,7066,Clark,NJ,Union,40.627702,-74.287151,SingleFamily,2015,342737,1959,7405,NA,2,3,4/18/17,270000,10836,city,Clark
2318 Whittier St,7065,Rahway,NJ,Union,40.619284,-74.27025,SingleFamily,2015,159267,1960,2613,NA,1,2,4/18/17,176000,8854,city,Rahway
55 Baltusrol Rd,7901,Summit,NJ,Union,40.705733,-74.353421,SingleFamily,2015,373715,1950,6969,1335,2,3,4/17/17,483000,27319,city,Summit
205 W 15th St,7036,Linden,NJ,Union,40.621482,-74.241152,MultiFamily2To4,2015,256788,1950,3920,NA,2,5,4/17/17,375000,36718,city,Linden
33 Williams St,7204,Roselle Park,NJ,Union,40.662802,-74.262598,SingleFamily,2015,255272,1986,4356,1785,NA,4,4/17/17,215000,29512,city,Roselle Park
1122 Debra Dr,7036,Linden,NJ,Union,40.628763,-74.274227,SingleFamily,2015,261757,1960,4356,NA,2,3,4/17/17,295000,36718,city,Linden
