street,zip_code,city,state,county,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
40 Elm St,7940,Madison,NJ,Morris,40.764933,-74.422994,SingleFamily,2015,444506,1958,16552,1040,2,3,4/19/17,410000,53105,city,Madison
39 Lake Rd,7928,Chatham,NJ,Morris,40.743299,-74.427821,SingleFamily,2015,662127,1986,4791,1640,2.5,3,4/19/17,550000,397771,city,Chatham Township
3004 Appleton Way,7981,Whippany,NJ,Morris,40.819496,-74.42921,Condominium,2015,245422,1993,4312,1164,2,2,4/19/17,303000,189064,city,Hanover
6 Maple Ave,7950,Morris Plains,NJ,Morris,40.823658,-74.485905,SingleFamily,2015,409901,1925,7405,NA,2,4,4/19/17,495000,53418,city,Morris Plains
42 Brookvale Rd,7405,Kinnelon,NJ,Morris,41.01495,-74.395318,SingleFamily,2015,622469,1969,49658,NA,3,4,4/19/17,425000,21851,city,Kinnelon
419 Washington St,7005,Boonton,NJ,Morris,40.898968,-74.409613,SingleFamily,2015,453091,1900,6098,3826,4,6,4/19/17,525000,3752,city,Boonton
90 Wildflower Ln,7960,Morristown,NJ,Morris,40.815418,-74.516988,Condominium,NA,NA,1993,NA,1700,3,2,7/23/10,350000,398997,city,Morris Township
444 Mount Kemble Ave,7960,Morristown,NJ,Morris,40.769977,-74.507595,SingleFamily,2015,320364,1923,15246,1408,2,3,9/13/16,280000,398997,city,Morris Township
9 Forest Dr,7960,Morristown,NJ,Morris,40.778485,-74.504698,SingleFamily,2015,824089,1999,47480,3900,3,4,10/26/16,870000,398997,city,Morris Township
32 Independence Way,7960,Morristown,NJ,Morris,40.781124,-74.44451,Townhouse,2015,469647,1981,6534,NA,3,3,3/30/17,749000,398997,city,Morris Township
5 Jenks Ct,7960,Morristown,NJ,Morris,40.765355,-74.509165,SingleFamily,2015,709741,1988,18295,3606,5,4,10/20/16,945000,397524,city,Harding Township
27 Eagle Nest Rd,7960,Morristown,NJ,Morris,40.767763,-74.471129,SingleFamily,2015,866998,1982,37026,2852,4,5,2/14/17,826000,398997,city,Morris Township
38 Nottingham Ct,7960,Morristown,NJ,Morris,40.780528,-74.481807,SingleFamily,2015,452676,1985,3484,2035,3,2,12/22/16,535000,398997,city,Morris Township
5 Harter Rd,7960,Morristown,NJ,Morris,40.778201,-74.49902,SingleFamily,2015,660596,1982,27007,3100,3.5,5,8/31/16,730000,398997,city,Morris Township
1 Fairchild Ln,7960,Morristown,NJ,Morris,40.75071,-74.524881,SingleFamily,2015,734365,1989,165964,4710,5,5,12/19/16,950000,397524,city,Harding Township
218 Blue Mill Rd,7960,Morristown,NJ,Morris,40.749182,-74.457934,SingleFamily,2015,2956090,2005,131115,8361,6,6,12/15/16,2950000,397524,city,Harding Township
19 Symor Dr,7960,Morristown,NJ,Morris,40.773626,-74.459482,SingleFamily,2015,526215,1965,15246,2742,3,4,12/1/16,620000,398997,city,Morris Township
9 Squirrel Run,7960,Morristown,NJ,Morris,40.769747,-74.467942,SingleFamily,2015,1073538,1979,33976,4153,4,4,8/17/16,985000,398997,city,Morris Township
27 Kitchell Rd,7960,Morristown,NJ,Morris,40.771266,-74.446584,SingleFamily,2015,1561259,2001,89733,5917,6,5,8/12/16,1667500,398997,city,Morris Township
31 Spring Brook Rd,7960,Morristown,NJ,Morris,40.775522,-74.491279,SingleFamily,2015,861341,1927,18295,3160,5,4,3/31/17,866000,398997,city,Morris Township
56 Bailey Hollow Rd,7960,Morristown,NJ,Morris,40.776094,-74.510993,SingleFamily,2015,928946,1981,131115,4601,3,4,8/5/16,880000,398997,city,Morris Township
5D Leva Dr # 405,7960,Morristown,NJ,Morris,40.768486,-74.483513,Condominium,2015,287252,1992,3398,1300,NA,NA,1/19/17,334500,398997,city,Morris Township
166 Sand Spring Rd,7960,Morristown,NJ,Morris,40.768292,-74.506812,SingleFamily,2015,295163,1930,8568,1260,NA,NA,4/6/17,305000,397524,city,Harding Township
2 Bishop Ct,7960,Morristown,NJ,Morris,40.776375,-74.445646,SingleFamily,2015,944812,1997,18600,3460,3,4,8/18/16,820000,398997,city,Morris Township
6 Birch Ln,7960,Morristown,NJ,Morris,40.764445,-74.510491,Townhouse,2015,349204,1979,4765,1568,3,2,10/21/16,468000,397524,city,Harding Township
392 South St,7960,Morristown,NJ,Morris,40.779663,-74.466743,SingleFamily,2015,404112,1920,15681,2360,2,4,12/12/16,375000,398997,city,Morris Township
77 Sherwood Dr,7960,Morristown,NJ,Morris,40.78009,-74.48462,SingleFamily,2015,437224,1984,4792,2035,NA,NA,9/1/16,450000,398997,city,Morris Township
15C Leva Dr,7960,Morristown,NJ,Morris,40.767459,-74.484413,Condominium,NA,NA,NA,NA,1070,2,2,10/14/16,2150,398997,city,Morris Township
7 Cadence Ct,7960,Morristown,NJ,Morris,40.773279,-74.453266,Condominium,NA,NA,1994,1742,NA,3,4,8/29/16,475000,398997,city,Morris Township
7 Symor Dr,7960,Morristown,NJ,Morris,40.774997,-74.4581,SingleFamily,2015,498897,1957,12196,2026,2.5,4,12/16/16,630000,398997,city,Morris Township
9 Armstrong Rd,7960,Morristown,NJ,Morris,40.777155,-74.491371,SingleFamily,2015,839542,2016,29185,4150,5,5,12/29/16,700000,398997,city,Morris Township
72 Spring Brook Rd,7960,Morristown,NJ,Morris,40.775293,-74.485079,SingleFamily,2015,691501,1958,29185,3165,3,4,4/12/17,625000,398997,city,Morris Township
41 Crescent Dr,7960,Morristown,NJ,Morris,40.779766,-74.4511,SingleFamily,2015,569123,1952,16117,2403,2,4,8/24/16,650000,398997,city,Morris Township
