street,zip_code,city,state,county,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
2 Central Ave,7016,Cranford,NJ,union,40.658274,-74.308924,SingleFamily,2015,516499,1926,6969,NA,2,3,1/31/17,560000,31092,city,Cranford
2184 Morrison Ave,7083,Union,NJ,union,40.706964,-74.267329,SingleFamily,2015,191289,1930,3484,1123,2,3,1/30/17,161000,20883,city,Union
254 Winans Ave,7205,Hillside,NJ,union,40.704476,-74.223587,SingleFamily,2015,193975,1920,4356,1310,1.5,3,1/30/17,100000,55745,city,Hillside
930 Seymour Ave,7036,Linden,NJ,union,40.63841,-74.262339,SingleFamily,2015,184916,1950,3920,900,1,4,1/30/17,125000,36718,city,Linden
424 Colonial Ave,7090,Westfield,NJ,union,40.661548,-74.354355,SingleFamily,2015,846123,1951,9147,2264,4,4,1/30/17,900000,27896,city,Westfield
572 1st St,7090,Westfield,NJ,union,40.643216,-74.355298,SingleFamily,2015,412326,1910,4791,2504,3,6,1/30/17,675000,27896,city,Westfield
539 W 4th St,7060,Plainfield,NJ,union,40.611257,-74.426539,SingleFamily,2015,154358,1940,4791,1448,2,4,1/30/17,60525,33445,city,Plainfield
33 Glen Oaks Ave,7901,Summit,NJ,union,40.707268,-74.369393,SingleFamily,2015,861422,1944,9801,1698,3,4,1/30/17,1110000,27319,city,Summit
2605 Burns Pl,7083,Union,NJ,union,40.705742,-74.290867,SingleFamily,2015,218363,1948,4791,1300,2,3,1/30/17,289500,20883,city,Union
1258 Salem Ave,7205,Hillside,NJ,union,40.693352,-74.21886,SingleFamily,2016,253904,1914,6098,2556,3,4,1/30/17,300000,55745,city,Hillside
1651 Essex St,7065,Rahway,NJ,union,40.607828,-74.270982,SingleFamily,2015,196407,1929,11761,2400,1,5,1/30/17,80000,8854,city,Rahway
1127 Salem Ave,7205,Hillside,NJ,union,40.690212,-74.218354,SingleFamily,2015,281255,1924,4791,1738,3,4,1/31/17,321950,55745,city,Hillside
1108 Mccandless St,7036,Linden,NJ,union,40.642598,-74.252301,SingleFamily,2015,124223,1955,2613,NA,1,2,1/30/17,150000,36718,city,Linden
18 Wadsworth Ter,7016,Cranford,NJ,union,40.666765,-74.295868,SingleFamily,2015,486075,1956,7405,1781,2,3,1/29/17,535000,31092,city,Cranford
